"filename", "language", "Markdown", "C++", "YAML", "CMake", "JSON", "HTML", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"d:\flutter_apps\utilities\utility_tools\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\flutter_apps\utilities\utility_tools\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\flutter_apps\utilities\utility_tools\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\flutter_apps\utilities\utility_tools\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\flutter_apps\utilities\utility_tools\pubspec.yaml", "YAML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 48, 16, 123
"d:\flutter_apps\utilities\utility_tools\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"d:\flutter_apps\utilities\utility_tools\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"d:\flutter_apps\utilities\utility_tools\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\flutter_apps\utilities\utility_tools\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\flutter_apps\utilities\utility_tools\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\flutter_apps\utilities\utility_tools\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\flutter_apps\utilities\utility_tools\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\flutter_apps\utilities\utility_tools\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\flutter_apps\utilities\utility_tools\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\flutter_apps\utilities\utility_tools\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\flutter_apps\utilities\utility_tools\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\flutter_apps\utilities\utility_tools\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\flutter_apps\utilities\utility_tools\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\flutter_apps\utilities\utility_tools\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 186, 578, 65, 474, 248, 19, 25362, 69, 470, 8, 1246, 3070, 31795
